Course,Section,classtype,Title,Dept,Half,AV Requirements,Instructors,Anticipated Enrollment,Respect Room,Respect Time,Days 1,Start Time 1,End Time 1,Room 1,Days 2,Start Time 2,End Time 2,Room 2,Days 3,Start Time 3,End Time 3,Room 3
15.301,,REC1,Managerial Psychology (lab 1),Org Studies,,,Prof. 82,35, , ,F ,11:00 AM,12:00 PM,E51-063,,,,,,,,
15.301,,REC2,Managerial Psychology (lab 2),Org Studies,,,Prof. 71,35,,,F ,12:00 PM,1:00 PM,E51-145,,,,,,,,
15.301,,REC3,Managerial Psychology (lab 3),Org Studies,,,Prof. 72,35,,,F ,12:00 PM,1:00 PM,E51-361,,,,,,,,
15.301,,REC4,Managerial Psychology (lab 4),Org Studies,,,Prof. 73,35,,,F ,1:00 PM,2:00 PM,E51-063,,,,,,,,
15.301,,REC5,Managerial Psychology (lab 5),Org Studies,,,Prof. 74,35,,,F ,10:00 AM,11:00 AM,E51-063,,,,,,,,
15.31,,REC,Managerial Psychology (meets w/301),Org Studies,,,75,24,y,y,F ,11:00 AM,12:00 PM,E51-061,,,,,,,,
15.317,A,,Org Leadership and Change,Org Studies,H2,,L. Hafrey,48,,,T,4:00 PM,7:00 PM,E62-250,,,,,,,,
15.318,A,,Discovering your Leadership Signature,Org Studies,,,D. Ancona,36, ,y,F ,9:00 AM,12:00 PM,E62-221,,,,,,,,
15.318,B,,Discovering your Leadership Signature,Org Studies,,,D. Ancona,36, ,y,T,6:00 PM,9:00 PM,E62-221,,,,,,,,
15.326,,,Seminar in Leadership II,Org Studies,,,S. Sacca,102, , ,"M, W",5:30 PM,7:00 PM,E51-325,,,,,,,,
15.S21, ,,Leading From the Middle,Org Studies,,,L. Hafrey,18, , ,W ,4:00 PM,5:30 PM,E51-385,,,,,,,,
15.S21,A,, Practical Leadership,Org Studies,,,P. Bentley,11, , ,W,4:00 PM,7:00 PM,E62-221,,,,,,,,
15.S21,B,, Practical Leadership,Org Studies,,,P. Bentley,11, , ,Th,4:00 PM,7:00 PM,E62-221,,,,,,,,
15.S02,,,Cross-Cultural Leadership,Org Studies,,,C. Flammer,40,,,"M, W",1:00 PM,2:30 PM,E62-250,,,,,,,,
15.32,,,Strategic Organization Design,Org Studies,,,T. Malone,67,, ,"M , W ",1:00 PM,2:30 PM,E51-145,,,,E62-276,,,,
15.356,,,How to Develop Breakthrough Prod.,TIES,,,E. von Hippel,100,,y,"M, W",2:30 PM,4:00 PM,E62-262,,,,,,,,
15.358,,,The Business of Software,TIES,,,M. Cusumano,57, , ,F ,1:00 PM,4:00 PM,E62-250,,,,,,,,
15.363J,,,Strategic Decision Making,TIES,,,"J. Flemming, A. Zarur",66,,,T,5:30 PM,8:30 PM,E51-315,,,,,,,,
15.386,,,Managing in Adversity,TIES,,,"H. Anderson, P. Kurzina",128,y,,"T, Th",10:00 AM,11:30 AM,E51-345,,,,,,,,
15.387,,,Techonolgy Sales and Sales Mgmt,TIES,,,"H. Anderson, L. Shipley",86,,,"T, Th",8:30 AM,10:00 AM,E51-315,,,,,,,,
15.39,A,,New Enterprises,TIES,,,"H. Anderson, M. Marx",85,,,"M, W",2:30 PM,4:00 PM,E62-276,,,,,,,,
13.39,B,,New Enterprises,TIES,,,"W. Aulet, M. Marx",85,,,"M, W",4:00 PM,5:30 PM,E51-335,,,,,,,,
15.394,A,,Dilemmas in Founding New Ventures,TIES,,,M. Marx,67,, ,"T, Th",2:30 PM,4:00 PM,E51-145,"T, Th",1:00 PM,2:30 PM,E51-145,"T, Th",10:00 AM,11:30 AM,E51-145
15.394,B,,Dilemmas in Founding New Ventures,TIES,,,M. Marx,67,,,"T, Th",4:00 PM,5:30 PM,E51-145,"T, Th",2:30 PM,4:00 PM,E51-145,"T, Th",1:00 PM,2:30 PM,E51-145
15.398,,,Corp. at the Crossroads: The CEO,TIES,,,"H. Anderson, P. Kurzina",128,,,W,6:00 PM,8:00 PM,E51-345,,,,,,,,
15.399,,,Entrepreneurship Lab,TIES,,,"J. Dougherty, S. Stern",76,,,Th,6:00 PM,9:00 PM,E51-335,,,,,,,,
15.9,A,,Competitive Strategy,TIES,H1,,P. Yin,67,,,"M, W, F",10:00 AM,11:30 AM,E51-145,"M, W, F",8:30 AM,10:00 AM,E51-145,,,,
